[449] systemd-udevd D /run/udev/queue
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000166.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000383.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000567.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000567.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000802.doc.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000802.doc.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000155.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000155.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000939.txt.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000939.txt.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000204.html.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000204.html.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000400.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000453.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000950.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000124.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000375.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000403.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000103.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000010.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000671.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000792.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000724.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000370.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000043.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000651.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000576.csv
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000522.gif
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000446.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000573.swf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000897.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000276.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000061.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000447.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000859.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000161.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000944.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000952.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000900.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000741.log
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000275.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000650.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000295.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000144.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000655.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000532.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000967.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000646.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000088.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000885.pdf
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000975.xml
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000046.xls
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000243.jpg
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000068.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000387.txt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000195.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000217.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000996.ps
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000058.html
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000133.ppt
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000691.doc
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000588.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000588.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000189.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000189.pdf.dkrpx75
[4629] f8c08d00ff6e8c6 O /home/capstone/project/test_files/000962.jpg.dkrpx75
[4629] f8c08d00ff6e8c6 C /home/capstone/project/test_files/checkpoints-000962.jpg.dkrpx75
